17/04/2024 05:43:44 AM : root         : INFO     : exiting explicit wait..
17/04/2024 05:43:44 AM : root         : INFO     : count of matches: 5
17/04/2024 05:43:44 AM : root         : INFO     : images displayed: True
17/04/2024 05:43:44 AM : root         : INFO     : Returned: True
17/04/2024 05:43:45 AM : root         : INFO     : operator User logged out from cloud menu..
17/04/2024 05:43:46 AM : root         : INFO     : status: [True]
17/04/2024 05:43:46 AM : root         : INFO     : ********** Test_VS_03 Begin  **********
17/04/2024 05:43:47 AM : root         : INFO     : page url: https://scecore6-vm.qa.facefirst.dev/
17/04/2024 05:43:47 AM : root         : INFO     : current url: https://scecore6-vm.qa.facefirst.dev/
17/04/2024 05:43:47 AM : root         : INFO     : url is not open
17/04/2024 05:43:47 AM : root         : INFO     : opening localhost portal login
17/04/2024 05:43:47 AM : root         : INFO     : logging in to core
17/04/2024 05:43:47 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 05:43:47 AM : root         : INFO     : exiting explicit wait..
17/04/2024 05:43:50 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 05:43:50 AM : root         : INFO     : exiting explicit wait..
17/04/2024 05:43:52 AM : root         : INFO     : ******* Login with operator user success *********
17/04/2024 05:43:54 AM : root         : INFO     : going to visitor search...
17/04/2024 05:43:54 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 05:43:54 AM : root         : INFO     : exiting explicit wait..
17/04/2024 05:43:56 AM : root         : INFO     : waiting for search panel to appear...
17/04/2024 05:43:56 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 05:43:56 AM : root         : INFO     : exiting explicit wait..
17/04/2024 05:44:00 AM : root         : INFO     : Strategy: from
17/04/2024 05:44:00 AM : root         : INFO     : select from date checkbox
17/04/2024 05:44:01 AM : root         : INFO     : select date time
17/04/2024 05:44:01 AM : root         : INFO     : datetime clicked
17/04/2024 05:44:02 AM : root         : INFO     : selecting time
17/04/2024 05:44:02 AM : root         : INFO     : select time 
17/04/2024 05:44:06 AM : root         : INFO     : select in from hours and min
17/04/2024 05:44:07 AM : root         : INFO     : From start date
17/04/2024 05:44:10 AM : root         : INFO     : Strategy: to
17/04/2024 05:44:12 AM : root         : INFO     : selecting time
17/04/2024 05:44:12 AM : root         : INFO     : select time 
17/04/2024 05:44:16 AM : root         : INFO     : select in to hours and min
17/04/2024 05:44:17 AM : root         : INFO     : To End Date
17/04/2024 05:44:21 AM : root         : INFO     : edge name: sceedge6-vm
17/04/2024 05:44:22 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 05:44:22 AM : root         : INFO     : exiting explicit wait..
17/04/2024 05:44:23 AM : root         : INFO     : SCEEDGE6-VM
17/04/2024 05:44:23 AM : root         : INFO     : sceedge6-vm
17/04/2024 05:44:26 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 05:44:27 AM : root         : INFO     : exiting explicit wait..
17/04/2024 05:44:27 AM : root         : INFO     : max matches dropdown is selected..
17/04/2024 05:44:28 AM : root         : INFO     : waiting for message to appear...
17/04/2024 05:44:28 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 05:44:28 AM : root         : INFO     : exiting explicit wait..
17/04/2024 05:44:28 AM : root         : INFO     : clicked on submit search button..
17/04/2024 05:44:30 AM : root         : INFO     : Verifying matches
17/04/2024 05:44:30 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 05:44:30 AM : root         : INFO     : exiting explicit wait..
17/04/2024 05:44:30 AM : root         : INFO     : no match text displayed: True
17/04/2024 05:44:30 AM : root         : INFO     : ele2: No Matches Found - SO FAR
17/04/2024 05:44:30 AM : root         : INFO     : slider_value_str: left: 48%;
17/04/2024 05:44:30 AM : root         : INFO     : slider_value_text: 48%;
17/04/2024 05:44:33 AM : root         : INFO     : Verifying matches
17/04/2024 05:44:35 AM : root         : INFO     : entered explicit wait for 60
17/04/2024 05:44:35 AM : root         : INFO     : exiting explicit wait..
17/04/2024 05:44:35 AM : root         : INFO     : ****************** VISITOR SEARCH COMPLETE banner displayed...
17/04/2024 05:44:37 AM : root         : INFO     : entered explicit wait for 5
17/04/2024 05:44:37 AM : root         : INFO     : exiting explicit wait..
17/04/2024 05:44:37 AM : root         : INFO     : no match text displayed: True
17/04/2024 05:44:37 AM : root         : INFO     : ele2: No Matches Found - SO FAR
17/04/2024 05:44:37 AM : root         : INFO     : Returned: True
17/04/2024 05:44:38 AM : root         : INFO     : operator User logged out from cloud menu..
17/04/2024 05:44:39 AM : root         : INFO     : status: [True]
17/04/2024 05:44:39 AM : root         : INFO     : ********** Test_VS_04 Begin  **********
17/04/2024 05:44:40 AM : root         : INFO     : page url: https://scecore6-vm.qa.facefirst.dev/
17/04/2024 05:44:40 AM : root         : INFO     : current url: https://scecore6-vm.qa.facefirst.dev/
17/04/2024 05:44:40 AM : root         : INFO     : url is not open
17/04/2024 05:44:40 AM : root         : INFO     : opening localhost portal login
17/04/2024 05:44:40 AM : root         : INFO     : logging in to core
17/04/2024 05:44:40 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 05:44:40 AM : root         : INFO     : exiting explicit wait..
17/04/2024 05:44:43 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 05:44:43 AM : root         : INFO     : exiting explicit wait..
17/04/2024 05:44:45 AM : root         : INFO     : login success..
17/04/2024 05:44:47 AM : root         : INFO     : going to visitor search...
17/04/2024 05:44:47 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 05:44:47 AM : root         : INFO     : exiting explicit wait..
17/04/2024 05:44:50 AM : root         : INFO     : waiting for search panel to appear...
17/04/2024 05:44:51 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 05:44:51 AM : root         : INFO     : exiting explicit wait..
17/04/2024 05:44:52 AM : root         : INFO     : Root region name on VS: KROGER INTERNATIONAL - KCORP
17/04/2024 05:44:54 AM : root         : INFO     : current url: https://scecore6-vm.qa.facefirst.dev:5000/login
17/04/2024 05:44:54 AM : root         : INFO     : url is not open
17/04/2024 05:44:54 AM : root         : INFO     : opening dm login
17/04/2024 05:44:54 AM : root         : INFO     : logging in to DM
17/04/2024 05:44:55 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 05:44:55 AM : root         : INFO     : exiting explicit wait..
17/04/2024 05:44:57 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 05:44:57 AM : root         : INFO     : exiting explicit wait..
17/04/2024 05:44:58 AM : root         : INFO     : Login to DM... Welcome dialog is displayed..
17/04/2024 05:44:59 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 05:44:59 AM : root         : INFO     : exiting explicit wait..
17/04/2024 05:45:01 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 05:45:01 AM : root         : INFO     : exiting explicit wait..
17/04/2024 05:45:03 AM : root         : INFO     : Root region name on DM: KROGER INTERNATIONAL - KCORP
17/04/2024 05:45:05 AM : root         : INFO     : Root region names on VS and DM are same...
17/04/2024 05:45:05 AM : root         : INFO     : status: [True]
17/04/2024 05:45:05 AM : root         : INFO     : ********** Test_VS_05 Begin  **********
17/04/2024 05:45:06 AM : root         : INFO     : exception: ()
17/04/2024 05:45:06 AM : root         : ERROR    : screenshot file path: C:\Users\FFAzureAdmin\Desktop\FF_Smoke_Test\Reports\Screenshots\TC_VS_05_exception.png
