20/04/2024 06:42:53 PM : root         : INFO     :  ******** Reporting_Module (Order - 16) Begin ********
20/04/2024 06:42:53 PM : root         : INFO     : ********* TC_Reporting_02 started ************
20/04/2024 06:43:01 PM : root         : INFO     : current url: https://scecore5-vm.qa.facefirst.dev/
20/04/2024 06:43:01 PM : root         : INFO     : url is not open
20/04/2024 06:43:01 PM : root         : INFO     : opening localhost portal login
20/04/2024 06:43:01 PM : root         : INFO     : logging in to core
20/04/2024 06:43:01 PM : root         : INFO     : entered explicit wait for 10
20/04/2024 06:43:01 PM : root         : INFO     : exiting explicit wait..
20/04/2024 06:43:03 PM : root         : INFO     : entered explicit wait for 10
20/04/2024 06:43:04 PM : root         : INFO     : exiting explicit wait..
20/04/2024 06:43:06 PM : root         : INFO     : ******* Login with executive user success *********
20/04/2024 06:43:09 PM : root         : INFO     : entered explicit wait for 10
20/04/2024 06:43:09 PM : root         : INFO     : exiting explicit wait..
20/04/2024 06:43:14 PM : root         : INFO     : entered explicit wait for 10
20/04/2024 06:43:14 PM : root         : INFO     : exiting explicit wait..
20/04/2024 06:43:18 PM : root         : INFO     : entered explicit wait for 10
20/04/2024 06:43:18 PM : root         : INFO     : exiting explicit wait..
20/04/2024 06:43:21 PM : root         : INFO     : Clicked on generate report button...
20/04/2024 06:43:21 PM : root         : INFO     : title on the report panel:- NUMBER OF PROBABLE MATCH EVENTS BY ENROLLMENT
TSV
20/04/2024 06:43:22 PM : root         : INFO     : verify events by enrollments count got an exception as: option values must be strings
20/04/2024 06:43:22 PM : root         : INFO     : status: [True]
