20/04/2024 06:24:16 PM : root         : INFO     :  ******** Reporting_Module (Order - 16) Begin ********
20/04/2024 06:24:16 PM : root         : INFO     : ********* TC_Reporting_02 started ************
20/04/2024 06:24:24 PM : root         : INFO     : current url: https://scecore5-vm.qa.facefirst.dev/
20/04/2024 06:24:24 PM : root         : INFO     : url is not open
20/04/2024 06:24:25 PM : root         : INFO     : opening localhost portal login
20/04/2024 06:24:25 PM : root         : INFO     : logging in to core
20/04/2024 06:24:25 PM : root         : INFO     : entered explicit wait for 10
20/04/2024 06:24:25 PM : root         : INFO     : exiting explicit wait..
20/04/2024 06:24:27 PM : root         : INFO     : entered explicit wait for 10
20/04/2024 06:24:28 PM : root         : INFO     : exiting explicit wait..
20/04/2024 06:24:30 PM : root         : INFO     : ******* Login with executive user success *********
20/04/2024 06:24:33 PM : root         : INFO     : entered explicit wait for 10
20/04/2024 06:24:33 PM : root         : INFO     : exiting explicit wait..
20/04/2024 06:24:38 PM : root         : INFO     : entered explicit wait for 10
20/04/2024 06:24:38 PM : root         : INFO     : exiting explicit wait..
20/04/2024 06:24:42 PM : root         : INFO     : entered explicit wait for 10
20/04/2024 06:24:42 PM : root         : INFO     : exiting explicit wait..
20/04/2024 06:24:44 PM : root         : INFO     : Clicked on generate report button...
20/04/2024 06:24:44 PM : root         : INFO     : title on the report panel:- NUMBER OF PROBABLE MATCH EVENTS BY ENROLLMENT
TSV
20/04/2024 06:24:45 PM : root         : INFO     : status: [True]
