21/04/2024 06:06:35 PM : root         : INFO     : logging in to core
21/04/2024 06:06:35 PM : root         : INFO     : entered explicit wait for 10
21/04/2024 06:06:46 PM : root         : INFO     : element not found: //div/input[@id="login-username"]
21/04/2024 06:06:47 PM : root         : INFO     : exception: ()
21/04/2024 06:06:48 PM : root         : INFO     : entered explicit wait for 10
21/04/2024 06:06:48 PM : root         : INFO     : exiting explicit wait..
21/04/2024 06:06:54 PM : root         : INFO     : entered explicit wait for 10
21/04/2024 06:06:54 PM : root         : INFO     : exiting explicit wait..
21/04/2024 06:06:54 PM : root         : INFO     : Clicked on Generate report button
21/04/2024 06:06:56 PM : root         : INFO     : entered explicit wait for 10
21/04/2024 06:06:56 PM : root         : INFO     : exiting explicit wait..
21/04/2024 06:06:57 PM : root         : INFO     : title on the report panel:- NUMBER OF ENROLLMENTS BY ZONE
TSV
21/04/2024 06:06:59 PM : root         : INFO     : enrollments_by_zone_count: sceedge5-vm,24,scecore5-vm,0,All Devices,24
21/04/2024 06:06:59 PM : root         : INFO     : zone name: All Devices
21/04/2024 06:06:59 PM : root         : INFO     : actual All Devices enrollments count: 24
21/04/2024 06:06:59 PM : root         : INFO     : entered explicit wait for 10
21/04/2024 06:06:59 PM : root         : INFO     : exiting explicit wait..
21/04/2024 06:07:00 PM : root         : INFO     : entered explicit wait for 10
21/04/2024 06:07:00 PM : root         : INFO     : exiting explicit wait..
21/04/2024 06:07:01 PM : root         : INFO     : entered explicit wait for 10
21/04/2024 06:07:01 PM : root         : INFO     : exiting explicit wait..
21/04/2024 06:07:01 PM : root         : INFO     : expected all devices enrollments count: 25
21/04/2024 06:07:02 PM : root         : INFO     : entered explicit wait for 10
21/04/2024 06:07:02 PM : root         : INFO     : exiting explicit wait..
21/04/2024 06:07:02 PM : root         : INFO     : clicked on search dropdown
21/04/2024 06:07:03 PM : root         : INFO     : entered explicit wait for 10
21/04/2024 06:07:03 PM : root         : INFO     : exiting explicit wait..
21/04/2024 06:07:03 PM : root         : INFO     : clicked on org hierarchy btn
21/04/2024 06:07:04 PM : root         : INFO     : length of regions: 21
21/04/2024 06:07:04 PM : root         : INFO     : expected_region: sceedge5-vm
21/04/2024 06:07:05 PM : root         : INFO     : sceedge5-vm
21/04/2024 06:07:05 PM : root         : INFO     : sceedge5-vm
21/04/2024 06:07:06 PM : root         : INFO     : clicked on save button..
21/04/2024 06:07:06 PM : root         : INFO     : entered explicit wait for 10
21/04/2024 06:07:06 PM : root         : INFO     : exiting explicit wait..
21/04/2024 06:07:07 PM : root         : INFO     : entered explicit wait for 10
21/04/2024 06:07:07 PM : root         : INFO     : exiting explicit wait..
21/04/2024 06:07:07 PM : root         : INFO     : expected_edge_enrollments_count: 25
21/04/2024 06:07:07 PM : root         : INFO     : actual enrollments by edge count for: sceedge5-vm is 24
21/04/2024 06:07:07 PM : root         : INFO     : expected_enrollments_by_edge: 25
21/04/2024 06:07:07 PM : root         : INFO     : status: [True, False, True, True, False, True, False, False]
21/04/2024 06:07:07 PM : root         : ERROR    : screenshot file path: C:\Users\FFAzureAdmin\Desktop\FF_Smoke_Test\Reports\Screenshots\TC_Reporting_03.png
21/04/2024 06:07:08 PM : root         : INFO     : *********** TC_Reporting_04 started **********
21/04/2024 06:07:09 PM : root         : INFO     : page url: https://scecore5-vm.qa.facefirst.dev/
21/04/2024 06:07:09 PM : root         : INFO     : current url: https://scecore5-vm.qa.facefirst.dev/
21/04/2024 06:07:09 PM : root         : INFO     : url is not open
21/04/2024 06:07:10 PM : root         : INFO     : opening localhost portal login
21/04/2024 06:07:10 PM : root         : INFO     : logging in to core
21/04/2024 06:07:10 PM : root         : INFO     : entered explicit wait for 10
21/04/2024 06:07:20 PM : root         : INFO     : element not found: //div/input[@id="login-username"]
21/04/2024 06:07:21 PM : root         : INFO     : exception: ()
21/04/2024 06:07:22 PM : root         : INFO     : entered explicit wait for 10
21/04/2024 06:07:22 PM : root         : INFO     : exiting explicit wait..
21/04/2024 06:07:29 PM : root         : INFO     : entered explicit wait for 10
21/04/2024 06:07:29 PM : root         : INFO     : exiting explicit wait..
21/04/2024 06:07:29 PM : root         : INFO     : Clicked on Generate report button
21/04/2024 06:07:31 PM : root         : INFO     : entered explicit wait for 10
21/04/2024 06:07:31 PM : root         : INFO     : exiting explicit wait..
21/04/2024 06:07:31 PM : root         : INFO     : Reporting panel heading: NUMBER OF ZONES BY ENROLLMENT
TSV
21/04/2024 06:07:32 PM : root         : INFO     : enrollments_count: viewing 1 thru 10 of 24
21/04/2024 06:07:32 PM : root         : INFO     : expected zones_by_enrollment_count: 24
21/04/2024 06:07:32 PM : root         : INFO     : entered explicit wait for 10
21/04/2024 06:07:32 PM : root         : INFO     : exiting explicit wait..
21/04/2024 06:07:33 PM : root         : INFO     : entered explicit wait for 10
21/04/2024 06:07:33 PM : root         : INFO     : exiting explicit wait..
21/04/2024 06:07:34 PM : root         : INFO     : entered explicit wait for 10
21/04/2024 06:07:34 PM : root         : INFO     : exiting explicit wait..
21/04/2024 06:07:34 PM : root         : INFO     : actual events_by_enrollment_count: 25
21/04/2024 06:07:34 PM : root         : INFO     : status: [True, False, True, True, False, True, False, False, True, False]
21/04/2024 06:07:34 PM : root         : ERROR    : screenshot file path: C:\Users\FFAzureAdmin\Desktop\FF_Smoke_Test\Reports\Screenshots\TC_Reporting_04.png
