29/04/2024 09:29:29 AM : root         : INFO     :  ******** Tags_Module (Order - 7) Begin ********
29/04/2024 09:29:29 AM : root         : INFO     : test_TC_TAG_01 execution started..
29/04/2024 09:29:29 AM : root         : INFO     : ************* test_TC_TAG_01 ***************
29/04/2024 09:29:35 AM : root         : INFO     : current url: https://scecore7-vm.qa.facefirst.dev/
29/04/2024 09:29:35 AM : root         : INFO     : url is not open
29/04/2024 09:29:35 AM : root         : INFO     : opening localhost portal login
29/04/2024 09:29:35 AM : root         : INFO     : logging in to core
29/04/2024 09:29:35 AM : root         : INFO     : entered explicit wait for 10
29/04/2024 09:29:35 AM : root         : INFO     : exiting explicit wait..
29/04/2024 09:29:37 AM : root         : INFO     : entered explicit wait for 10
29/04/2024 09:29:38 AM : root         : INFO     : exiting explicit wait..
29/04/2024 09:29:40 AM : root         : INFO     : login success..
29/04/2024 09:29:43 AM : root         : INFO     : entered explicit wait for 10
29/04/2024 09:29:43 AM : root         : INFO     : exiting explicit wait..
29/04/2024 09:29:43 AM : root         : INFO     : eg list: ['assult', 'alcholic', 'pushcart', 'threat']
29/04/2024 09:29:44 AM : root         : INFO     : entered explicit wait for 10
29/04/2024 09:29:44 AM : root         : INFO     : exiting explicit wait..
29/04/2024 09:29:44 AM : root         : INFO     : action button is clicked
29/04/2024 09:29:47 AM : root         : INFO     : create button is clicked
29/04/2024 09:29:51 AM : root         : INFO     : save button is clicked
29/04/2024 09:29:52 AM : root         : INFO     : tag created msg: ASSULT
29/04/2024 09:29:52 AM : root         : INFO     : expected msg: ASSULT
29/04/2024 09:29:53 AM : root         : INFO     : entered explicit wait for 10
29/04/2024 09:29:53 AM : root         : INFO     : exiting explicit wait..
29/04/2024 09:29:53 AM : root         : INFO     : action button is clicked
29/04/2024 09:29:56 AM : root         : INFO     : create button is clicked
29/04/2024 09:29:59 AM : root         : INFO     : save button is clicked
29/04/2024 09:30:00 AM : root         : INFO     : tag created msg: ALCHOLIC
29/04/2024 09:30:00 AM : root         : INFO     : expected msg: ALCHOLIC
29/04/2024 09:30:01 AM : root         : INFO     : entered explicit wait for 10
29/04/2024 09:30:01 AM : root         : INFO     : exiting explicit wait..
29/04/2024 09:30:01 AM : root         : INFO     : action button is clicked
29/04/2024 09:30:04 AM : root         : INFO     : create button is clicked
29/04/2024 09:30:08 AM : root         : INFO     : save button is clicked
29/04/2024 09:30:09 AM : root         : INFO     : tag created msg: PUSHCART
29/04/2024 09:30:09 AM : root         : INFO     : expected msg: PUSHCART
29/04/2024 09:30:10 AM : root         : INFO     : entered explicit wait for 10
29/04/2024 09:30:10 AM : root         : INFO     : exiting explicit wait..
29/04/2024 09:30:10 AM : root         : INFO     : action button is clicked
29/04/2024 09:30:13 AM : root         : INFO     : create button is clicked
29/04/2024 09:30:16 AM : root         : INFO     : save button is clicked
29/04/2024 09:30:17 AM : root         : INFO     : tag created msg: THREAT
29/04/2024 09:30:17 AM : root         : INFO     : expected msg: THREAT
29/04/2024 09:30:17 AM : root         : INFO     : Status: True
