21/04/2024 06:38:17 PM : root         : INFO     :  ******** Reporting_Module (Order - 16) Begin ********
21/04/2024 06:38:17 PM : root         : INFO     : ********* TC_Reporting_01 started ************
21/04/2024 06:38:25 PM : root         : INFO     : current url: https://scecore5-vm.qa.facefirst.dev/
21/04/2024 06:38:25 PM : root         : INFO     : url is not open
21/04/2024 06:38:25 PM : root         : INFO     : opening localhost portal login
21/04/2024 06:38:25 PM : root         : INFO     : logging in to core
21/04/2024 06:38:25 PM : root         : INFO     : entered explicit wait for 10
21/04/2024 06:38:25 PM : root         : INFO     : exiting explicit wait..
21/04/2024 06:38:27 PM : root         : INFO     : entered explicit wait for 10
21/04/2024 06:38:28 PM : root         : INFO     : exiting explicit wait..
21/04/2024 06:38:30 PM : root         : INFO     : ******* Login with executive user success *********
21/04/2024 06:38:33 PM : root         : INFO     : entered explicit wait for 10
21/04/2024 06:38:33 PM : root         : INFO     : exiting explicit wait..
21/04/2024 06:38:38 PM : root         : INFO     : entered explicit wait for 10
21/04/2024 06:38:38 PM : root         : INFO     : exiting explicit wait..
21/04/2024 06:38:42 PM : root         : INFO     : entered explicit wait for 10
21/04/2024 06:38:42 PM : root         : INFO     : exiting explicit wait..
21/04/2024 06:38:45 PM : root         : INFO     : Clicked on generate report button...
21/04/2024 06:38:45 PM : root         : INFO     : entered explicit wait for 10
21/04/2024 06:38:45 PM : root         : INFO     : exiting explicit wait..
21/04/2024 06:38:45 PM : root         : INFO     : Reporting panel heading: NUMBER OF PROBABLE MATCH EVENTS BY ZONE
TSV
21/04/2024 06:38:46 PM : root         : INFO     : expected_all_events_count: 283
21/04/2024 06:38:46 PM : root         : INFO     : entered explicit wait for 10
21/04/2024 06:38:46 PM : root         : INFO     : exiting explicit wait..
21/04/2024 06:38:47 PM : root         : INFO     : entered explicit wait for 10
21/04/2024 06:38:47 PM : root         : INFO     : exiting explicit wait..
21/04/2024 06:38:48 PM : root         : INFO     : entered explicit wait for 10
21/04/2024 06:38:48 PM : root         : INFO     : exiting explicit wait..
21/04/2024 06:38:48 PM : root         : INFO     : actual_all_devices_events_count: 283
21/04/2024 06:38:49 PM : root         : INFO     : expected edge event count: 283
21/04/2024 06:38:49 PM : root         : INFO     : entered explicit wait for 10
21/04/2024 06:38:49 PM : root         : INFO     : exiting explicit wait..
21/04/2024 06:38:49 PM : root         : INFO     : clicked on search dropdown
21/04/2024 06:38:50 PM : root         : INFO     : entered explicit wait for 10
21/04/2024 06:38:50 PM : root         : INFO     : exiting explicit wait..
21/04/2024 06:38:50 PM : root         : INFO     : clicked on org hierarchy btn
21/04/2024 06:38:51 PM : root         : INFO     : length of regions: 20
21/04/2024 06:38:51 PM : root         : INFO     : expected_region: sceedge5-vm
21/04/2024 06:38:52 PM : root         : INFO     : sceedge5-vm
21/04/2024 06:38:52 PM : root         : INFO     : sceedge5-vm
21/04/2024 06:38:53 PM : root         : INFO     : clicked on save button..
21/04/2024 06:38:53 PM : root         : INFO     : entered explicit wait for 10
21/04/2024 06:38:53 PM : root         : INFO     : exiting explicit wait..
21/04/2024 06:38:54 PM : root         : INFO     : entered explicit wait for 10
21/04/2024 06:38:54 PM : root         : INFO     : exiting explicit wait..
21/04/2024 06:38:54 PM : root         : INFO     : expected_edge_events_count: 283
21/04/2024 06:38:54 PM : root         : INFO     : actual edge event count: 283
21/04/2024 06:38:55 PM : root         : INFO     : status: [True, True, True]
21/04/2024 06:38:56 PM : root         : INFO     : ********* TC_Reporting_02 started ************
21/04/2024 06:38:57 PM : root         : INFO     : page url: https://scecore5-vm.qa.facefirst.dev/
21/04/2024 06:38:57 PM : root         : INFO     : current url: https://scecore5-vm.qa.facefirst.dev/
21/04/2024 06:38:57 PM : root         : INFO     : url is not open
21/04/2024 06:38:57 PM : root         : INFO     : opening localhost portal login
21/04/2024 06:38:57 PM : root         : INFO     : logging in to core
21/04/2024 06:38:57 PM : root         : INFO     : entered explicit wait for 10
21/04/2024 06:38:57 PM : root         : INFO     : exiting explicit wait..
21/04/2024 06:39:00 PM : root         : INFO     : entered explicit wait for 10
21/04/2024 06:39:00 PM : root         : INFO     : exiting explicit wait..
21/04/2024 06:39:02 PM : root         : INFO     : ******* Login with executive user success *********
21/04/2024 06:39:05 PM : root         : INFO     : entered explicit wait for 10
