16/04/2024 07:19:32 PM : root         : INFO     :  ******** Visitor_Search_Jobs (Order - 8) Begin ********
16/04/2024 07:19:32 PM : root         : INFO     : Visitor search jobs module = test_VSJ_06 execution started..
16/04/2024 07:19:40 PM : root         : INFO     : current url: https://scecore6-vm.qa.facefirst.dev/
16/04/2024 07:19:40 PM : root         : INFO     : url is not open
16/04/2024 07:19:40 PM : root         : INFO     : opening localhost portal login
16/04/2024 07:19:40 PM : root         : INFO     : logging in to core
16/04/2024 07:19:40 PM : root         : INFO     : entered explicit wait for 10
16/04/2024 07:19:40 PM : root         : INFO     : exiting explicit wait..
16/04/2024 07:19:42 PM : root         : INFO     : entered explicit wait for 10
16/04/2024 07:19:43 PM : root         : INFO     : exiting explicit wait..
16/04/2024 07:19:45 PM : root         : INFO     : ******* Login with it admin user success *********
16/04/2024 07:19:52 PM : root         : INFO     : entered explicit wait for 10
16/04/2024 07:19:52 PM : root         : INFO     : exiting explicit wait..
16/04/2024 07:19:54 PM : root         : INFO     : entered explicit wait for 10
16/04/2024 07:19:54 PM : root         : INFO     : exiting explicit wait..
16/04/2024 07:19:54 PM : root         : INFO     : entered explicit wait for 10
16/04/2024 07:19:54 PM : root         : INFO     : exiting explicit wait..
16/04/2024 07:19:54 PM : root         : INFO     : Clicked on Include Jobs For All Users option...
16/04/2024 07:19:56 PM : root         : INFO     : entered explicit wait for 10
16/04/2024 07:20:06 PM : root         : INFO     : element not found: //ins[@class="iCheck-helper"]
16/04/2024 07:20:06 PM : root         : INFO     : before: 21
16/04/2024 07:20:07 PM : root         : INFO     : entered explicit wait for 10
16/04/2024 07:20:07 PM : root         : INFO     : exiting explicit wait..
16/04/2024 07:20:08 PM : root         : INFO     : Strategy: from
16/04/2024 07:20:08 PM : root         : INFO     : select from date checkbox
16/04/2024 07:20:09 PM : root         : INFO     : select date time
16/04/2024 07:20:09 PM : root         : INFO     : datetime clicked
16/04/2024 07:20:10 PM : root         : INFO     : selecting time
16/04/2024 07:20:10 PM : root         : INFO     : select time 
16/04/2024 07:20:14 PM : root         : INFO     : select in from hours and min
16/04/2024 07:20:14 PM : root         : INFO     : From start date
16/04/2024 07:20:18 PM : root         : INFO     : Strategy: to
16/04/2024 07:20:20 PM : root         : INFO     : selecting time
16/04/2024 07:20:20 PM : root         : INFO     : select time 
16/04/2024 07:20:24 PM : root         : INFO     : select in to hours and min
16/04/2024 07:20:30 PM : root         : INFO     : To End Date
16/04/2024 07:20:34 PM : root         : INFO     : entered explicit wait for 10
16/04/2024 07:20:34 PM : root         : INFO     : exiting explicit wait..
16/04/2024 07:20:34 PM : root         : INFO     : Clicked on Include Jobs For All Users option...
16/04/2024 07:20:37 PM : root         : INFO     : entered explicit wait for 10
16/04/2024 07:20:48 PM : root         : INFO     : element not found: //ins[@class="iCheck-helper"]
16/04/2024 07:20:48 PM : root         : INFO     : after: 1
16/04/2024 07:20:50 PM : root         : INFO     : test_VSJ_06_exception:  list index out of range
16/04/2024 07:20:52 PM : root         : INFO     : test_VSJ_06 execution failed..
