29/04/2024 09:35:36 AM : root         : INFO     :  ******** Tags_Module (Order - 7) Begin ********
29/04/2024 09:35:36 AM : root         : INFO     : test_TC_TAG_02 execution started..
29/04/2024 09:35:36 AM : root         : INFO     : ************ test_TC_TAG_02 **********
29/04/2024 09:35:42 AM : root         : INFO     : current url: https://scecore7-vm.qa.facefirst.dev/
29/04/2024 09:35:42 AM : root         : INFO     : url is not open
29/04/2024 09:35:42 AM : root         : INFO     : opening localhost portal login
29/04/2024 09:35:42 AM : root         : INFO     : logging in to core
29/04/2024 09:35:42 AM : root         : INFO     : entered explicit wait for 10
29/04/2024 09:35:42 AM : root         : INFO     : exiting explicit wait..
29/04/2024 09:35:44 AM : root         : INFO     : entered explicit wait for 10
29/04/2024 09:35:45 AM : root         : INFO     : exiting explicit wait..
29/04/2024 09:35:47 AM : root         : INFO     : login success..
29/04/2024 09:35:49 AM : root         : INFO     : entered explicit wait for 10
29/04/2024 09:35:49 AM : root         : INFO     : exiting explicit wait..
29/04/2024 09:35:49 AM : root         : INFO     : entered explicit wait for 10
29/04/2024 09:35:49 AM : root         : INFO     : exiting explicit wait..
29/04/2024 09:35:49 AM : root         : INFO     : action button is clicked
29/04/2024 09:35:49 AM : root         : INFO     : entered explicit wait for 10
29/04/2024 09:35:49 AM : root         : INFO     : exiting explicit wait..
29/04/2024 09:35:49 AM : root         : INFO     : create button is clicked
29/04/2024 09:35:49 AM : root         : INFO     : entered explicit wait for 10
29/04/2024 09:35:49 AM : root         : INFO     : exiting explicit wait..
29/04/2024 09:35:54 AM : root         : INFO     : save button is clicked
29/04/2024 09:35:57 AM : root         : INFO     : tag created msg: VIP
29/04/2024 09:35:57 AM : root         : INFO     : expected msg: VIP
29/04/2024 09:36:00 AM : root         : INFO     : status: [True, True]
