17/04/2024 09:47:58 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 09:47:58 AM : root         : INFO     : exiting explicit wait..
17/04/2024 09:47:58 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 09:47:58 AM : root         : INFO     : exiting explicit wait..
17/04/2024 09:47:59 AM : root         : INFO     : Clicked on Include Jobs For All Users option...
17/04/2024 09:48:01 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 09:48:01 AM : root         : INFO     : exiting explicit wait..
17/04/2024 09:48:01 AM : root         : INFO     : Expected possible matches: 3
17/04/2024 09:48:02 AM : root         : INFO     : Clicked on View Results button..
17/04/2024 09:48:02 AM : root         : INFO     : entered explicit wait for 15
17/04/2024 09:48:02 AM : root         : INFO     : exiting explicit wait..
17/04/2024 09:48:02 AM : root         : INFO     : Actual count of matches: 3
17/04/2024 09:48:04 AM : root         : INFO     : Verifying matches
17/04/2024 09:48:06 AM : root         : INFO     : entered explicit wait for 60
17/04/2024 09:48:06 AM : root         : INFO     : exiting explicit wait..
17/04/2024 09:48:06 AM : root         : INFO     : ****************** VISITOR SEARCH COMPLETE banner displayed...
17/04/2024 09:48:08 AM : root         : INFO     : entered explicit wait for 5
17/04/2024 09:48:14 AM : root         : INFO     : element not found: //div[@ng-show="searchHasNoMatches"]
17/04/2024 09:48:17 AM : root         : INFO     : entered explicit wait for 15
17/04/2024 09:48:17 AM : root         : INFO     : exiting explicit wait..
17/04/2024 09:48:17 AM : root         : INFO     : count of matches: 3
17/04/2024 09:48:17 AM : root         : INFO     : images displayed: True
17/04/2024 09:48:17 AM : root         : INFO     : status: [True]
17/04/2024 09:48:19 AM : root         : INFO     : Visitor search jobs module = test_VSJ_04 execution started..
17/04/2024 09:48:20 AM : root         : INFO     : page url: https://scecore6-vm.qa.facefirst.dev/
17/04/2024 09:48:20 AM : root         : INFO     : current url: https://scecore6-vm.qa.facefirst.dev/
17/04/2024 09:48:20 AM : root         : INFO     : url is not open
17/04/2024 09:48:20 AM : root         : INFO     : opening localhost portal login
17/04/2024 09:48:20 AM : root         : INFO     : logging in to core
17/04/2024 09:48:20 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 09:48:31 AM : root         : INFO     : element not found: //div/input[@id="login-username"]
17/04/2024 09:48:32 AM : root         : INFO     : exception: ()
17/04/2024 09:48:34 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 09:48:34 AM : root         : INFO     : exiting explicit wait..
17/04/2024 09:48:37 AM : root         : INFO     : page url: https://scecore6-vm.qa.facefirst.dev/
17/04/2024 09:48:37 AM : root         : INFO     : current url: https://scecore6-vm.qa.facefirst.dev/
17/04/2024 09:48:37 AM : root         : INFO     : url is not open
17/04/2024 09:48:38 AM : root         : INFO     : opening localhost portal login
17/04/2024 09:48:38 AM : root         : INFO     : logging in to core
17/04/2024 09:48:38 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 09:48:48 AM : root         : INFO     : element not found: //div/input[@id="login-username"]
17/04/2024 09:48:49 AM : root         : INFO     : exception: ()
17/04/2024 09:48:51 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 09:48:51 AM : root         : INFO     : exiting explicit wait..
17/04/2024 09:48:53 AM : root         : INFO     : entered explicit wait for 20
17/04/2024 09:48:53 AM : root         : INFO     : exiting explicit wait..
17/04/2024 09:49:02 AM : root         : INFO     : Strategy: from
17/04/2024 09:49:02 AM : root         : INFO     : select from date checkbox
17/04/2024 09:49:03 AM : root         : INFO     : select date time
17/04/2024 09:49:03 AM : root         : INFO     : datetime clicked
17/04/2024 09:49:04 AM : root         : INFO     : selecting time
17/04/2024 09:49:04 AM : root         : INFO     : select time 
17/04/2024 09:49:08 AM : root         : INFO     : select in from hours and min
17/04/2024 09:49:09 AM : root         : INFO     : From start date
17/04/2024 09:49:12 AM : root         : INFO     : Strategy: to
17/04/2024 09:49:14 AM : root         : INFO     : selecting time
17/04/2024 09:49:14 AM : root         : INFO     : select time 
17/04/2024 09:49:18 AM : root         : INFO     : select in to hours and min
17/04/2024 09:49:19 AM : root         : INFO     : To End Date
17/04/2024 09:49:24 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 09:49:24 AM : root         : INFO     : exiting explicit wait..
17/04/2024 09:49:26 AM : root         : INFO     : sceedge6-vm
17/04/2024 09:49:26 AM : root         : INFO     : sceedge6-vm
17/04/2024 09:49:29 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 09:49:29 AM : root         : INFO     : exiting explicit wait..
17/04/2024 09:49:31 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 09:49:42 AM : root         : INFO     : element not found: //div[@class='job-progress-container posrel fl disblk cb']
17/04/2024 09:49:42 AM : root         : INFO     : test_VSJ_04_exception:  invalid literal for int() with base 10: 'POSSIBLE'
17/04/2024 09:49:44 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 09:49:44 AM : root         : INFO     : exiting explicit wait..
17/04/2024 09:49:46 AM : root         : INFO     : test_VSJ_04 execution failed..
17/04/2024 09:49:47 AM : root         : INFO     : Visitor search jobs module = test_VSJ_05 execution started..
17/04/2024 09:49:48 AM : root         : INFO     : page url: https://scecore6-vm.qa.facefirst.dev/
17/04/2024 09:49:48 AM : root         : INFO     : current url: https://scecore6-vm.qa.facefirst.dev/
17/04/2024 09:49:48 AM : root         : INFO     : url is not open
17/04/2024 09:49:48 AM : root         : INFO     : opening localhost portal login
17/04/2024 09:49:48 AM : root         : INFO     : logging in to core
17/04/2024 09:49:48 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 09:49:48 AM : root         : INFO     : exiting explicit wait..
17/04/2024 09:49:50 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 09:49:51 AM : root         : INFO     : exiting explicit wait..
17/04/2024 09:49:53 AM : root         : INFO     : ******* Login with it admin user success *********
17/04/2024 09:50:00 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 09:50:00 AM : root         : INFO     : exiting explicit wait..
17/04/2024 09:50:02 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 09:50:02 AM : root         : INFO     : exiting explicit wait..
17/04/2024 09:50:03 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 09:50:03 AM : root         : INFO     : exiting explicit wait..
17/04/2024 09:50:03 AM : root         : INFO     : Clicked on Include Jobs For All Users option...
17/04/2024 09:50:05 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 09:50:15 AM : root         : INFO     : element not found: //ins[@class="iCheck-helper"]
17/04/2024 09:50:15 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 09:50:15 AM : root         : INFO     : exiting explicit wait..
17/04/2024 09:50:16 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 09:50:16 AM : root         : INFO     : exiting explicit wait..
17/04/2024 09:50:16 AM : root         : INFO     : Delete Jobs option is visible..
17/04/2024 09:50:17 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 09:50:17 AM : root         : INFO     : exiting explicit wait..
17/04/2024 09:50:19 AM : root         : INFO     : Total Jobs before deletion: 21,  Total Jobs after deletion: 20
17/04/2024 09:50:19 AM : root         : INFO     : status: [True]
17/04/2024 09:50:21 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 09:50:21 AM : root         : INFO     : exiting explicit wait..
