23/04/2024 05:18:34 AM : root         : INFO     :  ******** Events (Order - 10) Begin ********
23/04/2024 05:18:35 AM : root         : INFO     : Event Search Filter Combination = test_TC_ESFC_05 execution started..
23/04/2024 05:18:40 AM : root         : INFO     : current url: https://scecore7-vm.qa.facefirst.dev/
23/04/2024 05:18:40 AM : root         : INFO     : url is not open
23/04/2024 05:18:40 AM : root         : INFO     : opening localhost portal login
23/04/2024 05:18:40 AM : root         : INFO     : logging in to core
23/04/2024 05:18:40 AM : root         : INFO     : entered explicit wait for 10
23/04/2024 05:18:40 AM : root         : INFO     : exiting explicit wait..
23/04/2024 05:18:42 AM : root         : INFO     : entered explicit wait for 10
23/04/2024 05:18:43 AM : root         : INFO     : exiting explicit wait..
23/04/2024 05:18:45 AM : root         : INFO     : login success..
23/04/2024 05:18:47 AM : root         : INFO     : enrollment group list is :["//*[@id='enrollmentGroup-selection-menu']/li/p"]
23/04/2024 05:18:55 AM : root         : INFO     : Total number of events on each group is Displaying 5 of 5 Probable Match Events.
