12/04/2024 05:40:27 AM : root         : INFO     :  ******** Users_Module (Order - 4) Begin ********
12/04/2024 05:40:27 AM : root         : INFO     : Users module = test_TC_US_09 execution started..
12/04/2024 05:40:34 AM : root         : INFO     : current url: https://scecore7-vm.qa.facefirst.dev/
12/04/2024 05:40:34 AM : root         : INFO     : url is not open
12/04/2024 05:40:34 AM : root         : INFO     : opening localhost portal login
12/04/2024 05:40:34 AM : root         : INFO     : logging in to core
12/04/2024 05:40:34 AM : root         : INFO     : entered explicit wait for 10
12/04/2024 05:40:34 AM : root         : INFO     : exiting explicit wait..
12/04/2024 05:40:37 AM : root         : INFO     : entered explicit wait for 10
12/04/2024 05:40:37 AM : root         : INFO     : exiting explicit wait..
12/04/2024 05:40:39 AM : root         : INFO     : login success..
12/04/2024 05:40:42 AM : root         : INFO     : entered explicit wait for 8
12/04/2024 05:40:42 AM : root         : INFO     : exiting explicit wait..
12/04/2024 05:40:42 AM : root         : INFO     : click on users on the cloud menu
12/04/2024 05:40:42 AM : root         : INFO     : entered explicit wait for 5
12/04/2024 05:40:42 AM : root         : INFO     : exiting explicit wait..
12/04/2024 05:40:45 AM : root         : INFO     : entered explicit wait for 10
12/04/2024 05:40:45 AM : root         : INFO     : exiting explicit wait..
12/04/2024 05:40:45 AM : root         : INFO     : click on alert schedule icon
12/04/2024 05:40:46 AM : root         : INFO     : entered explicit wait for 10
12/04/2024 05:40:46 AM : root         : INFO     : exiting explicit wait..
12/04/2024 05:40:46 AM : root         : INFO     : click on alert schedule action dropdown
12/04/2024 05:40:48 AM : root         : INFO     : entered explicit wait for 10
12/04/2024 05:40:48 AM : root         : INFO     : exiting explicit wait..
12/04/2024 05:40:48 AM : root         : INFO     : click on edit option
12/04/2024 05:40:50 AM : root         : INFO     : send_sms_yes is visible : True
12/04/2024 05:40:50 AM : root         : INFO     : send_sms_yes is clickable : True
12/04/2024 05:40:50 AM : root         : INFO     : send_mms_yes is visible : True
12/04/2024 05:40:50 AM : root         : INFO     : send_mms_yes is clickable : True
12/04/2024 05:40:50 AM : root         : INFO     : send_email_yes is visible : True
12/04/2024 05:40:50 AM : root         : INFO     : send_email_yes is clickable : True
12/04/2024 05:40:50 AM : root         : INFO     : send_in_app_notification_yes is visible : True
12/04/2024 05:40:50 AM : root         : INFO     : send_in_app_notification_yes is clickable : True
12/04/2024 05:40:50 AM : root         : INFO     : enable_alerts_yes is visible : True
12/04/2024 05:40:50 AM : root         : INFO     : enable_alerts_yes is clickable : True
12/04/2024 05:40:50 AM : root         : INFO     : Status : [True, True, True, True, True, True, True, True, True, True]
12/04/2024 05:40:51 AM : root         : INFO     : wrong url detected: https://scecore7-vm.qa.facefirst.dev/
