14/04/2024 11:16:39 AM : root         : INFO     :  ******** Portal_Menu (Order - 2) Begin ********
14/04/2024 11:16:39 AM : root         : INFO     : ********** TC_PM_5 started ********
14/04/2024 11:16:44 AM : root         : INFO     : current url: https://scecore6-vm.qa.facefirst.dev/
14/04/2024 11:16:44 AM : root         : INFO     : url is not open
14/04/2024 11:16:44 AM : root         : INFO     : opening localhost portal login
14/04/2024 11:16:44 AM : root         : INFO     : logging in to core
14/04/2024 11:16:44 AM : root         : INFO     : entered explicit wait for 10
14/04/2024 11:16:44 AM : root         : INFO     : exiting explicit wait..
14/04/2024 11:16:47 AM : root         : INFO     : entered explicit wait for 10
14/04/2024 11:16:47 AM : root         : INFO     : exiting explicit wait..
14/04/2024 11:16:49 AM : root         : INFO     : login success..
14/04/2024 11:16:52 AM : root         : INFO     : username expected: executive
14/04/2024 11:16:52 AM : root         : INFO     : entered explicit wait for 8
14/04/2024 11:16:52 AM : root         : INFO     : exiting explicit wait..
14/04/2024 11:16:52 AM : root         : INFO     : click on users on the cloud menu
14/04/2024 11:16:55 AM : root         : INFO     : ****** executive user is present *******
14/04/2024 11:16:56 AM : root         : INFO     : core User logged out from cloud menu..
14/04/2024 11:16:58 AM : root         : INFO     : page url: https://scecore6-vm.qa.facefirst.dev/
14/04/2024 11:16:58 AM : root         : INFO     : current url: https://scecore6-vm.qa.facefirst.dev/
14/04/2024 11:16:58 AM : root         : INFO     : url is not open
14/04/2024 11:16:58 AM : root         : INFO     : opening localhost portal login
14/04/2024 11:16:58 AM : root         : INFO     : logging in to core
14/04/2024 11:16:58 AM : root         : INFO     : entered explicit wait for 10
14/04/2024 11:16:58 AM : root         : INFO     : exiting explicit wait..
14/04/2024 11:17:01 AM : root         : INFO     : entered explicit wait for 10
14/04/2024 11:17:01 AM : root         : INFO     : exiting explicit wait..
14/04/2024 11:17:03 AM : root         : INFO     : ******* Login with executive user success *********
14/04/2024 11:17:06 AM : root         : INFO     : cloud menu list length: 21
14/04/2024 11:17:06 AM : root         : INFO     : length of app: 19
14/04/2024 11:17:06 AM : root         : INFO     : Probable Match Events menu is displayed..
14/04/2024 11:17:07 AM : root         : INFO     : Tags menu is displayed..
14/04/2024 11:17:07 AM : root         : INFO     : Identify & Enroll menu is displayed..
14/04/2024 11:17:08 AM : root         : INFO     : Detect Faces menu is displayed..
14/04/2024 11:17:08 AM : root         : INFO     : Enrollments menu is displayed..
14/04/2024 11:17:09 AM : root         : INFO     : Enrollment Groups menu is displayed..
14/04/2024 11:17:09 AM : root         : INFO     : Notification Groups menu is displayed..
14/04/2024 11:17:10 AM : root         : INFO     : Visitor Search menu is displayed..
14/04/2024 11:17:10 AM : root         : INFO     : Visitor Search Jobs menu is displayed..
14/04/2024 11:17:11 AM : root         : INFO     : Notes menu is displayed..
14/04/2024 11:17:11 AM : root         : INFO     : Locations menu is displayed..
14/04/2024 11:17:12 AM : root         : INFO     : Users menu is displayed..
14/04/2024 11:17:12 AM : root         : INFO     : User Roles menu is displayed..
14/04/2024 11:17:13 AM : root         : INFO     : Zones menu is displayed..
14/04/2024 11:17:13 AM : root         : INFO     : Account menu is displayed..
14/04/2024 11:17:14 AM : root         : INFO     : Reporting menu is displayed..
14/04/2024 11:17:14 AM : root         : INFO     : Insights Dashboard menu is displayed..
14/04/2024 11:17:15 AM : root         : INFO     : Notifier menu is displayed..
14/04/2024 11:17:15 AM : root         : INFO     : Audit Log Reports menu is displayed..
14/04/2024 11:17:15 AM : root         : INFO     : ***** For executive user Expected menus are visible..
14/04/2024 11:17:17 AM : root         : INFO     : executive User logged out from cloud menu..
14/04/2024 11:17:18 AM : root         : INFO     : status: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]
