23/04/2024 05:35:47 AM : root         : INFO     :  ******** Events (Order - 10) Begin ********
23/04/2024 05:35:47 AM : root         : INFO     : Event Search Filter Combination = test_TC_ESFC_05 execution started..
23/04/2024 05:35:53 AM : root         : INFO     : current url: https://scecore7-vm.qa.facefirst.dev/
23/04/2024 05:35:53 AM : root         : INFO     : url is not open
23/04/2024 05:35:53 AM : root         : INFO     : opening localhost portal login
23/04/2024 05:35:53 AM : root         : INFO     : logging in to core
23/04/2024 05:35:53 AM : root         : INFO     : entered explicit wait for 10
23/04/2024 05:35:53 AM : root         : INFO     : exiting explicit wait..
23/04/2024 05:35:55 AM : root         : INFO     : entered explicit wait for 10
23/04/2024 05:35:56 AM : root         : INFO     : exiting explicit wait..
23/04/2024 05:35:58 AM : root         : INFO     : login success..
23/04/2024 05:36:00 AM : root         : INFO     : enrollment group list is :["//*[@id='enrollmentGroup-selection-menu']/li/p"]
23/04/2024 05:36:04 AM : root         : INFO     : actual text: AB
23/04/2024 05:36:04 AM : root         : INFO     : expected text: AB,SO,PT,FRAUD,VIP
23/04/2024 05:36:04 AM : root         : INFO     : actual text: DEFAULT ENROLLMENT GROUP
23/04/2024 05:36:04 AM : root         : INFO     : expected text: AB,SO,PT,FRAUD,VIP
23/04/2024 05:36:04 AM : root         : INFO     : actual text: FRAUD
23/04/2024 05:36:04 AM : root         : INFO     : expected text: AB,SO,PT,FRAUD,VIP
23/04/2024 05:36:04 AM : root         : INFO     : actual text: PT
23/04/2024 05:36:04 AM : root         : INFO     : expected text: AB,SO,PT,FRAUD,VIP
23/04/2024 05:36:05 AM : root         : INFO     : actual text: SO
23/04/2024 05:36:05 AM : root         : INFO     : expected text: AB,SO,PT,FRAUD,VIP
23/04/2024 05:36:08 AM : root         : INFO     : Total number of events on each group is Displaying 20 of 20 Probable Match Events.
23/04/2024 05:36:09 AM : root         : INFO     : event_search_with_enrollmentGroup_filter_combination failed:  ("argument of type 'WebElement' is not iterable",)
23/04/2024 05:36:09 AM : root         : INFO     : test_TC_ESFC_05 fail
